Circuit: * Z:\home\shinu\Desktop\thermal_sampler\sims\Draft1.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.000453056 to 0.000453057
Heightened Def Con from 0.000453057 to 0.000453057
Heightened Def Con from 0.000453057 to 0.000453057
Heightened Def Con from 0.000453057 to 0.000453057
Heightened Def Con from 0.000453057 to 0.000453057
Heightened Def Con from 0.000453057 to 0.000453058
Heightened Def Con from 0.000453058 to 0.000453059
Heightened Def Con from 0.000453059 to 0.00045306
Heightened Def Con from 0.00045306 to 0.00045306
Heightened Def Con from 0.00045306 to 0.00045306
Heightened Def Con from 0.00045306 to 0.00045306
Heightened Def Con from 0.00045306 to 0.000453061
Heightened Def Con from 0.000453061 to 0.000453061
Heightened Def Con from 0.000453061 to 0.000453062
Heightened Def Con from 0.000453062 to 0.000453062
Heightened Def Con from 0.000453062 to 0.000453062
Heightened Def Con from 0.000453062 to 0.000453062
Heightened Def Con from 0.000453062 to 0.000453062
Heightened Def Con from 0.000453062 to 0.000453062
Heightened Def Con from 0.000453062 to 0.000453062
Heightened Def Con from 0.000453062 to 0.000453063
Heightened Def Con from 0.000453063 to 0.000453064
Heightened Def Con from 0.000453064 to 0.000453064
Heightened Def Con from 0.000453064 to 0.000453064
Heightened Def Con from 0.000453064 to 0.000453064
Heightened Def Con from 0.000453064 to 0.000453065
Heightened Def Con from 0.000453065 to 0.000453065
Heightened Def Con from 0.000453065 to 0.000453066
Heightened Def Con from 0.000453066 to 0.000453066
Heightened Def Con from 0.000453066 to 0.000453066
Heightened Def Con from 0.000453066 to 0.000453066
Heightened Def Con from 0.000453066 to 0.000453066
Heightened Def Con from 0.000453066 to 0.000453067
Heightened Def Con from 0.000453067 to 0.000453068
Heightened Def Con from 0.000453068 to 0.000453069
Heightened Def Con from 0.000453069 to 0.00045307
Heightened Def Con from 0.00045307 to 0.000453071
Heightened Def Con from 0.000453071 to 0.000453071
Heightened Def Con from 0.000453071 to 0.000453073
Heightened Def Con from 0.000453073 to 0.000453073
Heightened Def Con from 0.000453073 to 0.000453075
Heightened Def Con from 0.000453078 to 0.000453079
Heightened Def Con from 0.000453079 to 0.000453081
Heightened Def Con from 0.000453081 to 0.000453081
Heightened Def Con from 0.000453081 to 0.000453081
Heightened Def Con from 0.000453081 to 0.000453081
Heightened Def Con from 0.000453081 to 0.000453081
Heightened Def Con from 0.000453081 to 0.000453082
Heightened Def Con from 0.000453082 to 0.000453082
Heightened Def Con from 0.000453082 to 0.000453082
Heightened Def Con from 0.000453082 to 0.000453082
Heightened Def Con from 0.000453082 to 0.000453082
Heightened Def Con from 0.000453082 to 0.000453082
Heightened Def Con from 0.000453082 to 0.000453083
Heightened Def Con from 0.000453083 to 0.000453083
Heightened Def Con from 0.000453083 to 0.000453083
Heightened Def Con from 0.000453083 to 0.000453083
Heightened Def Con from 0.000453083 to 0.000453083
Heightened Def Con from 0.000453083 to 0.000453083
Heightened Def Con from 0.000453083 to 0.000453083
Heightened Def Con from 0.000453083 to 0.000453083
Heightened Def Con from 0.000453083 to 0.000453085
Heightened Def Con from 0.000453085 to 0.000453086
Heightened Def Con from 0.000453086 to 0.000453086
Heightened Def Con from 0.000453086 to 0.000453086
Heightened Def Con from 0.000453086 to 0.000453086
Heightened Def Con from 0.000453086 to 0.000453086
Heightened Def Con from 0.000453086 to 0.000453086
Heightened Def Con from 0.000453086 to 0.000453087
Heightened Def Con from 0.000453087 to 0.000453087
Heightened Def Con from 0.000453087 to 0.000453087
Heightened Def Con from 0.000453087 to 0.000453087
Heightened Def Con from 0.000453087 to 0.000453087
Heightened Def Con from 0.000453087 to 0.000453087
Heightened Def Con from 0.000453087 to 0.000453087
Heightened Def Con from 0.000453087 to 0.000453087
Heightened Def Con from 0.000453087 to 0.000453087
Heightened Def Con from 0.000453087 to 0.000453087
Heightened Def Con from 0.000453087 to 0.000453087
Heightened Def Con from 0.000453087 to 0.000453087
Heightened Def Con from 0.000453087 to 0.000453087
Heightened Def Con from 0.000453087 to 0.000453087
Heightened Def Con from 0.000453087 to 0.000453088
Heightened Def Con from 0.000453088 to 0.000453088
Heightened Def Con from 0.000453088 to 0.000453089
Heightened Def Con from 0.000453089 to 0.000453089
Heightened Def Con from 0.000453089 to 0.000453089
Heightened Def Con from 0.000453089 to 0.000453089
Heightened Def Con from 0.000453089 to 0.000453089
Heightened Def Con from 0.000453089 to 0.000453089
Heightened Def Con from 0.000453089 to 0.000453091
Heightened Def Con from 0.000453093 to 0.000453093
Heightened Def Con from 0.000453093 to 0.000453093
Heightened Def Con from 0.000453093 to 0.000453094
Heightened Def Con from 0.000453094 to 0.000453094
Heightened Def Con from 0.000453094 to 0.000453094
Heightened Def Con from 0.000453094 to 0.000453094
Heightened Def Con from 0.000453094 to 0.000453094
Heightened Def Con from 0.000453094 to 0.000453094
Heightened Def Con from 0.000453094 to 0.000453094
Heightened Def Con from 0.000453094 to 0.000453094
Heightened Def Con from 0.000453094 to 0.000453094
Heightened Def Con from 0.000453094 to 0.000453094
Heightened Def Con from 0.000453094 to 0.000453094
Heightened Def Con from 0.000453094 to 0.000453094
Heightened Def Con from 0.000453094 to 0.000453094
Heightened Def Con from 0.000453094 to 0.000453094
Heightened Def Con from 0.000453094 to 0.000453095
Heightened Def Con from 0.000453095 to 0.000453095
Heightened Def Con from 0.000453095 to 0.000453095
Heightened Def Con from 0.000453095 to 0.000453095
Heightened Def Con from 0.000453095 to 0.000453095
Heightened Def Con from 0.000453095 to 0.000453095
Heightened Def Con from 0.000453095 to 0.000453095
Heightened Def Con from 0.000453095 to 0.000453095
Heightened Def Con from 0.000453095 to 0.000453095
Heightened Def Con from 0.000453095 to 0.000453095
Heightened Def Con from 0.000453095 to 0.000453095
Heightened Def Con from 0.000453095 to 0.000453095
Heightened Def Con from 0.000453095 to 0.000453096
Heightened Def Con from 0.000453096 to 0.000453096
Heightened Def Con from 0.000453096 to 0.000453097
Heightened Def Con from 0.000453097 to 0.000453098
